X	Y
989919.113076418	240026.377321089
977675.18369251	192629.648440724
979205.488652012	204881.989243852
996722.641504271	205248.241104011
973569.965370287	196528.771836595
999648.529137237	191810.320527758
985721.446844419	235942.387551475
996942.493459579	224607.722330922
980151.393061519	210608.113123463
983887.627552601	258023.552822824
985298.060405585	215605.500116762
1013250.50740187	254288.656938431
978148.472814572	207218.619753602
982542.679584467	199129.124112247
1007174.25455204	227298.429260765
972120.995120203	217083.887608263
987563.922053486	224338.318058832
984551.233316155	240085.164689675
988354.33466683	223073.271937306
974367.591923316	214132.040714549
1002386.62750696	215202.834716109
988624.045403337	234656.711702581
984120.004755401	207752.005924109
990735.408261763	237904.762897099
993381.300243225	222378.827375499
972128.670196649	214727.501932249
986417.832024933	245449.967578346
995423.259998109	249846.808046516
990736.640178581	246018.72072483
1003158.07256674	192099.504224456
975984.055023566	248207.868487883
1002132.33483956	196511.426862791
986400.718138997	227328.720306503
978927.542285153	232295.409975433
1014111.59376085	258870.520251781
998995.399661691	241374.060882076
995660.506960363	250082.759646462
997924.085547942	196155.90737427
984056.263025974	224040.778159366
973978.90360353	214149.584017717
994879.719811328	257731.394041977
993385.045620497	197080.677804645
983245.137302963	208665.299077108
995851.870165293	235709.28165817
998195.296484822	220703.626472458
973142.180038689	237185.435175073
1009866.10778854	209412.624866755
978439.832025783	249988.238994789
1009198.33666216	232854.643473229
979689.454566441	233627.115935853
1008739.69530442	201283.162774042
985129.081874153	192771.982504098
995489.765434563	214966.310714713
1014202.3534524	218084.161332805
984250.769296992	241176.785209753
983919.940816767	227253.739990844
1001270.9655647	216689.828439459
1006559.45373622	215343.688425183
1008498.99349292	195653.290072037
991294.616177203	240956.427943642
976312.204804133	196569.003815172
991698.197426904	216154.377177418
997284.219927149	196235.292084434
983874.551812833	212173.544938291
983277.352955045	225482.770176005
974285.180203633	232166.215213612
977220.328485241	222282.171469036
985207.509020536	250955.611900382
999917.105161775	240201.213081312
973012.657406563	236898.486520003
1002509.00298058	258927.50384967
1000786.52199365	211441.064582056
973449.012200321	189007.273659913
991274.566933608	230974.480628795
1009196.07716129	225416.568186945
1013144.73789528	197233.23962055
981144.62098836	249144.295175223
1010018.34512895	252955.889408111
998653.585616821	241293.401730326
991463.891060411	238451.062422993
980373.876873018	250599.701752542
1007048.22570411	198722.87340006
983220.341895236	243971.548292456
1008975.16507089	257980.849568357
991607.533993705	240792.014255618
976802.756903647	205504.540810844
983330.769577684	209037.430387652
1000550.65644322	212595.47685478
997933.739238527	205454.886250174
998063.581839396	202146.209284604
972680.531257371	250316.006351565
974710.91118198	259220.711574866
972740.561992171	221051.921192489
1006821.08814862	215752.866648749
973680.685205715	223786.124440336
1012012.94462788	194081.124095336
1011702.70004599	243903.892148677
997087.588077574	241410.583737439
986644.805522908	199476.698169253
998077.113839866	206453.963299953
987373.961608022	255417.516904735
985696.509220936	257613.594317451
1011568.8317497	243505.042200169
983518.694790283	250740.585586405
1001843.38634308	230172.28446031
980909.196788622	219929.820535436
984700.157567662	218560.797134151
983392.39509159	235577.34593947
1006859.82193527	204921.627869752
979260.36261808	200929.206604635
1011686.52058176	240740.684560126
979850.385942612	205967.766023354
987630.932150182	196777.516822072
1005238.63463712	206559.695778141
1003156.33277353	258891.666181117
991375.768220201	259279.976394427
1013006.71281314	227177.268161311
998212.319870495	201985.024975309
984628.096381877	225158.658243478
1015621.51052321	245884.38025459
999993.785285957	226147.39777179
1008129.71082951	214177.031220724
980027.581802058	192840.885131463
1006284.67201195	215861.373355296
993464.484140376	212854.694619438
976218.016350477	196899.810130343
981359.635511043	199742.614687587
1003002.82303226	198828.398338937
993322.653947092	216033.878003034
1012887.17948273	211104.661083431
1009825.58793697	242240.297335639
